鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北投區,土地,崇仰段四小段660地號,24.95,都市：其他:第二種住宅區。,,,1100610,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7200000,288577,,0.0,0,,RPWNMLRKOHGGFEA48DA,0.0,0.0,0.0,無,018
北投區,房地(土地+建物),吉利街３６９巷３０號二樓,38.25,都市：其他:第三種住宅區。,,,1100419,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0661121,123.61,3,2,2,有,無,8840000,71515,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPOPMLRKOHGGFEA87DA,114.13,0.0,9.48,無,
大安區,房地(土地+建物),新生南路一段１４５巷２１之１號四樓,33.43,都市：其他:第三種住宅區。,,,1100426,土地1建物1車位0,四層，陽臺,七層,華廈(10層含以下有電梯),,鋼筋混凝土造,,166.13,3,2,2,有,無,51400000,309396,,0.0,0,陽台外推；其他增建；,RPROMLLMNHGGFFA67DA,166.13,0.0,0.0,有,
大安區,房地(土地+建物),四維路３４之４號,21.71,都市：其他:道路用地(公共設施用地)。48/3/13,,,1100503,土地2建物1車位0,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,122.33,3,2,2,有,有,34280000,280226,,0.0,0,陽台外推；其他增建；,RPVQMLMJOHGGFFA18DA,109.2,0.0,13.13,有,019
大安區,房地(土地+建物),敦化南路一段１６１巷１４號二樓,54.75,都市：其他:第四種住宅區。,,,1100509,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,151.74,4,2,2,有,無,38000000,250428,,0.0,0,陽台外推；其他增建；,RPRSMLMJOHGGFFA97DA,131.38,0.0,20.36,無,
大安區,車位,和平東路三段４４８號,0.17,都市：其他:第三種住宅區。,,,1100522,土地1建物1車位1,一層,十三層,其他,一般事務所,鋼筋混凝土造,1090804,41.97,0,0,0,有,無,2900000,,坡道平面,44.21,2900000,僅車位交易；,RPPNMLKKOHGGFFA17DA,0.0,0.0,0.0,有,020
大安區,房地(土地+建物),和平東路一段１４５號七樓,20.86,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第貳種商業區)。,,,1100503,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0741115,239.73000000000002,0,0,0,無,有,59150000,246736,,0.0,0,陽台外推；,RPVNMLRKOHGGFFA48DA,163.08,0.0,21.79,有,
中正區,房地(土地+建物),三元街１７２巷１弄１２號二樓,33.25,都市：其他:第三種住宅區。,,,1100420,土地1建物1車位0,二層，陽臺,四層,公寓(5樓含以下無電梯),集合住宅,鋼筋混凝土造,0631230,94.26,3,2,1,有,無,15400000,163378,,0.0,0,,RPVNMLRKOHGGFAA08EA,94.26,0.0,0.0,無,
文山區,房地(土地+建物)+車位,木新路三段５０巷１０弄３之２號六樓,32.71,都市：其他:第三種住宅區。,,,1100518,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050129,164.26,2,2,2,有,有,22000000,171615,坡道平面,47.72,2000000,陽台外推；其他增建；,RPPOMLRKOHGGFAA57EA,67.79,1.23,9.55,有,021
文山區,房地(土地+建物)+車位,興隆路三段３０４巷３２之６號六樓,39.6,都市：其他:第二種住宅區。,,,1100528,土地2建物1車位1,六層，七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1030314,243.68,0,0,0,無,有,24800000,108200,坡道平面,31.12,1800000,毛胚屋；,RPROMLRKOHGGFAA77EA,97.79,21.35,14.99,有,
文山區,房地(土地+建物),試院路７號二樓,51.86,都市：其他:第三種住宅區。,,,1100510,土地1建物1車位0,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040422,275.49,3,2,2,有,有,46080000,167266,,0.0,0,,RPRNMLSKOHGGFAA77EA,141.74,12.09,16.17,有,
文山區,房地(土地+建物)+車位,試院路５號二樓,53.25,都市：其他:第三種住宅區。,,,1100510,土地1建物1車位4,二層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1040422,488.97,2,2,2,有,有,54800000,164241,坡道平面,216.2,10000000,,RPSNMLSKOHGGFAA87EA,140.89,13.32,14.0,有,
