鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
汐止區,房地(土地+建物)+車位,新北市汐止區水源路一段２９１巷１號九樓之１,20.52,都市：其他:第二種住宅區,,,1100517,土地1建物1車位1,九層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981230,151.16,2,2,2,有,有,14000000,92617,坡道平面,0.0,0,,RPRQMLNLOHGGFDF38DA,75.16,5.13,5.41,有,
汐止區,房地(土地+建物)+車位,新臺五路一段１００號７樓,60.78,都市：其他:乙種工業區,,,1100520,土地1建物1車位4,七層,二十六層,住宅大樓(11層含以上有電梯),工業用,鋼造,0831222,940.68,0,0,0,無,有,50300000,53472,坡道機械,81.76,0,,RPPNMLOLOHGGFDF97DA,797.93,0.0,0.0,有,0445
汐止區,房地(土地+建物)+車位,南興路６２號六樓,13.81,都市：其他:道路用地,,,1100429,土地3建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011126,113.63,2,2,1,有,有,12500000,110006,坡道平面,0.0,0,,RPTPMLMLOHGGFDF38DA,48.52,4.01,4.55,有,0446
淡水區,房地(土地+建物),大智街４６巷１號,40.71,都市：其他:住宅區,,,1100525,土地1建物1車位0,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980701,154.22,4,1,2,有,有,13500000,87537,,0.0,0,,RPVQMLMLOHGGFEF78DA,0.0,0.0,0.0,有,0447
八里區,房地(土地+建物)+車位,文昌一街２號八樓,17.38,都市：其他:第二種住宅區,,,1100501,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070522,125.54,2,2,1,有,有,8000000,63725,坡道平面,30.6,0,,RPTOMLNLOHGGFEF48DA,0.0,0.0,0.0,有,
淡水區,房地(土地+建物)+車位,坪頂路７６之２號,20.98,都市：其他:住宅區(二),,,1100309,土地1建物1車位1,一層,十一層,住宅大樓(11層含以上有電梯),一般事務所,鋼筋混凝土造,1090709,140.81,0,0,1,有,有,9800000,74386,坡道平面,35.28,1950000,,RPRQMLMLOHGGFEF38DA,0.0,0.0,0.0,有,
淡水區,房地(土地+建物)+車位,沙崙路一段１２６巷１０９號二十一樓,24.86,都市：其他:第五之一種住宅區,,,1100516,土地1建物1車位1,二十一層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060824,191.35,3,2,2,有,有,13800000,75845,坡道平面,26.54,1300000,,RPTPMLMLOHGGFEF48DA,0.0,0.0,0.0,有,
淡水區,房地(土地+建物),新民街２２６巷１２號三樓,27.98,都市：其他:住宅區,,,1100515,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770823,104.8,5,0,5,有,無,5400000,51527,,0.0,0,陽台外推；,RPPSMLLLOHGGFEF28DA,0.0,0.0,0.0,無,0448
淡水區,房地(土地+建物),真理街４之１號五樓,37.41,都市：其他:住宅區,,,1100509,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760120,129.71,4,1,2,有,無,4500000,34693,,0.0,0,陽台外推；,RPXOMLMLOHGGFEF78DA,0.0,0.0,0.0,無,
三芝區,房地(土地+建物),淺水灣街８之９號三樓,27.55,,山坡地保育區,丙種建築用地,1100602,土地2建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860529,59.82,1,2,1,有,有,2500000,41792,,0.0,0,,RPQNMLKLOHGGFEF77DA,0.0,0.0,0.0,有,
