鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
橋頭區,房地(土地+建物)+車位,經武路１０７８號十三樓,18.01,都市：其他:第六種住宅區,,,1100430,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1080322,144.84,3,2,2,有,有,7450000,51436,坡道平面,16.29,0,,RPPQMLQKOHGGFFE48DA,69.7,12.57,0.0,有,
橋頭區,房地(土地+建物),通樹路１８２巷１６號,75.87,都市：其他:住宅區,,,1100510,土地2建物1車位0,全,四層,透天厝,集合住宅,鋼筋混凝土造,1040319,204.02,4,2,3,有,無,12800000,62739,,0.0,0,,RPTPMLQKOHGGFFE78DA,197.92,6.1,0.0,無,0029
橋頭區,房地(土地+建物)+車位,橋新三路５０３號十四樓之３,40.34,都市：其他:第四種住宅區,,,1100609,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1050130,204.63,3,2,2,有,有,10500000,51312,坡道平面,24.91,0,,RPUNMLRKOHGGFFE78DA,102.25,10.03,0.0,有,0030
鳳山區,房地(土地+建物),北文街１１５號七樓,17.91,都市：其他:第三之一種住宅區,,,1100510,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830111,107.17999999999999,3,2,2,有,有,3850000,35921,,0.0,0,,RPSNMLNKNHGGFGE18DA,73.99,6.83,0.0,有,
鳳山區,房地(土地+建物),福安一街５１之４號,24.49,都市：其他:第三之一種住宅區,,,1100425,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690701,70.49,3,2,1,有,無,1500000,21280,,0.0,0,陽台外推；,RPXNMLOKNHGGFGE78DA,70.49,0.0,0.0,無,
鳳山區,土地,鳳山段火房口小段273-29地號,30.0,都市：其他:第三之一種住宅區,,,1100506,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,244900,8163,,0.0,0,政府機關標讓售；,RPXOMLOKNHGGFGE88DA,0.0,0.0,0.0,無,
鳳山區,房地(土地+建物)+車位,北賢街８３號八樓,12.06,都市：其他:第二之二種住宅區,,,1010505,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1090909,65.19999999999999,3,1,2,有,有,3550000,54456,坡道平面,24.03,0,親友、員工、共有人或其他特殊關係間之交易；,RPUPMLRKNHGGFGE98DA,30.48,3.67,0.0,有,0031
鳳山區,房地(土地+建物)+車位,長明街７６號九樓,25.06,都市：其他:第三之一種住宅區,,,1100417,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1060628,149.13,3,2,2,有,有,9950000,66720,坡道平面,24.62,0,,RPQOMLSKNHGGFGE58DA,71.39,9.51,0.0,有,0032
大樹區,土地,興和段61地號,2027.01,,一般農業區,農牧用地,1100601,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3600000,1776,,0.0,0,,RPVNMLMJOHGGFGE38DA,0.0,0.0,0.0,無,
鳳山區,房地(土地+建物)+車位,北賢街１１號十二樓,24.26,都市：其他:第二之二種住宅區,,,1100505,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1070620,139.34,3,2,2,有,有,8600000,61720,坡道平面,17.59,0,含裝潢費；,RPQNMLNJOHGGFGE97DA,68.22,11.52,0.0,有,0033
